Title,Author
Value Sensitive Design,Batya Friedman and David Hendry
Invisible Women,Caroline Criado Perez
Speech Police,David Kaye
Weapons of Math Destruction,Cathy O'Neil
System Error: Where Big Tech Went Wrong and How We Can Reboot,Rob Reich Mehran Sahami and Jeremy M. Weinstein
Technically Wrong,Sara Wachter-Boettcher
The Shame Machine,Cathy O'Neil
Technology Is Not Neutral: A Short Guide to Technology Ethics,Stephanie Hare
Algorithms of Oppression: How Search Engines Reinforce Racism,Safiya Umoja Noble
The Age of Surveillance Capitalism,Shoshana Zuboff
